N,P,K,temperature,humidity,ph,rainfall,label
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,0.0
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,0.0
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,0.0
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,0.0
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,0.0
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,0.0
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,0.0
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,0.0
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,0.0
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,0.0
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,0.0
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,0.0
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,0.0
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,0.0
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,0.0
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,0.0
92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,0.0
85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,0.0
98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,0.0
88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,0.0
95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,0.0
99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,0.0
95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,0.0
60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,0.0
63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,0.0
62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,0.0
64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,0.0
